Article ID,Article Title,Date (Article Created Date),URL
360008923653_en-us,Error message: updating cache,09/04/2018,https://help.yapicentral.com/hc/en-us/articles/360008923653
360008767454_en-us,Old Form Errors,09/04/2018,https://help.yapicentral.com/hc/en-us/articles/360008767454
360008854173_en-us,How To Use Online Forms,09/01/2018,https://help.yapicentral.com/hc/en-us/articles/360008854173
360008686714_en-us,Troubleshooting the Camera in the iPad App,08/31/2018,https://help.yapicentral.com/hc/en-us/articles/360008686714
360008467434_en-us,New Patient Welcome Email Templates,08/27/2018,https://help.yapicentral.com/hc/en-us/articles/360008467434
360008613893_en-us,Sending and Utilizing PDF Documents Across YAPI,08/27/2018,https://help.yapicentral.com/hc/en-us/articles/360008613893
360008612133_en-us,What does the error E041 mean?,08/27/2018,https://help.yapicentral.com/hc/en-us/articles/360008612133
360008613453_en-us,YAPI Is Not Working After Upgrading My Practice Management System,08/27/2018,https://help.yapicentral.com/hc/en-us/articles/360008613453
360008416993_en-us,After Root Canal Treatment,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008416993
360008274794_en-us,After your Periodontal Scaling and Root Planing Procedure,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008274794
360008274394_en-us,After your Restorative Dental Treatment,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008274394
360008414573_en-us,Care of your Orthodontic Appliances,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008414573
360008268094_en-us,Denture Wearer's Checklist,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008268094
360008276814_en-us,How do I Import PDF Documents to YAPI?,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008276814
360008269474_en-us,Invisalign Home Instructions,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008269474
360008272194_en-us,Night Guard Care and Maintenance,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008272194
360008268894_en-us,Post Operative Instructions for Dentures,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008268894
360008417233_en-us,Post Operative Instructions for Temporary Restorations,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008417233
360008269414_en-us,What to do After you Dental Implant Surgery,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008269414
360008414853_en-us,What to do After your Periodontal Surgery,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008414853
360008269114_en-us,What to do After your Tooth Extraction,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008269114
360008267854_en-us,What to Expect After your Child's Dental Treatment,08/22/2018,https://help.yapicentral.com/hc/en-us/articles/360008267854
360008362833_en-us,Cavity-Free Dental Check Up,08/21/2018,https://help.yapicentral.com/hc/en-us/articles/360008362833
360008237814_en-us,How to Import PDF Documents Intended for Emailing,08/21/2018,https://help.yapicentral.com/hc/en-us/articles/360008237814
360008361773_en-us,What to do After your Bone Graft/Augmentation Surgery,08/21/2018,https://help.yapicentral.com/hc/en-us/articles/360008361773
360007953694_en-us,Creating an Email Template,08/13/2018,https://help.yapicentral.com/hc/en-us/articles/360007953694
360008066833_en-us,Error Message: E041,08/13/2018,https://help.yapicentral.com/hc/en-us/articles/360008066833
360007897054_en-us,Enhanced Email Templates,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007897054
360007885154_en-us,How Often Should My Child Have Dental X-Rays?,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007885154
360007991433_en-us,Laser Cavity Detection,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007991433
360007993273_en-us,Let's Talk About ... Sippy Cups,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007993273
360007887354_en-us,Q&A - Fluoride and My Child,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007887354
360007990993_en-us,The Do's and Dont's of a Baby Bottle,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007990993
360007886514_en-us,The Truth About Sports Drinks and Your Teeth,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007886514
360007888754_en-us,Thumb Sucking - Get Rid Of The Bad Habit Before It's Too Late!,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007888754
360007994153_en-us,When Should I take Away My Child's Pacifier?,08/10/2018,https://help.yapicentral.com/hc/en-us/articles/360007994153
360007847754_en-us,"Baby Teeth, Cavities and Stainless-Steel Crowns to the Rescue",08/09/2018,https://help.yapicentral.com/hc/en-us/articles/360007847754
360007847894_en-us,Dental Sealants Are Insurance Against Cavities,08/09/2018,https://help.yapicentral.com/hc/en-us/articles/360007847894
360007944973_en-us,Do Cavities in Baby Teeth Really Need to be Filled?,08/09/2018,https://help.yapicentral.com/hc/en-us/articles/360007944973
360007780874_en-us,"Informed Consent to Release Patient Testimonial, Photos, Video, Audio and Name",08/08/2018,https://help.yapicentral.com/hc/en-us/articles/360007780874
360007755194_en-us,Curious about YAPI pricing?,08/07/2018,https://help.yapicentral.com/hc/en-us/articles/360007755194
360007756974_en-us,How to: Schedule a Demo of YAPI,08/07/2018,https://help.yapicentral.com/hc/en-us/articles/360007756974
360007744814_en-us,Informed Consent for Veneers,08/07/2018,https://help.yapicentral.com/hc/en-us/articles/360007744814
360007814353_en-us,2-4-6-8 Who Do We Appreciate?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007814353
360007719114_en-us,Do I Need To Replace Missing Teeth?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007719114
360007719154_en-us,How Can We Help Your Dental Treatments Fit Your Budget?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007719154
360007813913_en-us,How Does My Oral Health Change During Pregnancy?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007813913
360007719354_en-us,How Quickly Does My Child's Cavity Need to Be Filled?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007719354
360007719394_en-us,No Dental Insurance? No Problem!,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007719394
360007814073_en-us,Why Choose Us?,08/06/2018,https://help.yapicentral.com/hc/en-us/articles/360007814073
360007686854_en-us,Botox In Dentistry,08/04/2018,https://help.yapicentral.com/hc/en-us/articles/360007686854
360007686874_en-us,Choosing a Dentist: Private Practice vs. Corporate Dental Clinic,08/04/2018,https://help.yapicentral.com/hc/en-us/articles/360007686874
360007780613_en-us,Dental Radiation – How Much Am I Receiving When Having Digital X-Rays?,08/04/2018,https://help.yapicentral.com/hc/en-us/articles/360007780613
360007592394_en-us,Acid Reflux and Your Dental Health,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007592394
360007592554_en-us,Back to School? It’s the Most Wonderful Time of the Year…for a checkup!,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007592554
360007687773_en-us,Cleaning Your Tongue,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007687773
360007590814_en-us,Dental Health Challenges for Women,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007590814
360007688093_en-us,Dental Health Tips for Seniors,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007688093
360007592454_en-us,Five Things to Know About Athletic Mouth Guards,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007592454
360007592834_en-us,Fresh Breath for Valentine’s Day,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007592834
360007689833_en-us,Getting Your Child Ready for The First Dental Visit,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007689833
360007691933_en-us,Healthy Halloween Smiles,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007691933
360007689973_en-us,Packing a Smile Friendly School Lunch,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007689973
360007591154_en-us,Pregnancy and Your Dental Health,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007591154
360007592734_en-us,The Long-Term Effects of Thumb Sucking,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007592734
360007689613_en-us,Three Reasons Why a Filling May Need to be Replaced,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007689613
360007591294_en-us,Vitamins and Minerals for a Healthy Smile,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007591294
360007689393_en-us,Which Tooth Whitening System Is Best For Me?,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007689393
360007688433_en-us,Xyliwhat?,08/02/2018,https://help.yapicentral.com/hc/en-us/articles/360007688433
360007566694_en-us,5 Reasons People Avoid the Dentist,08/01/2018,https://help.yapicentral.com/hc/en-us/articles/360007566694
360007666053_en-us,Alternatives to Traditional Flossing,08/01/2018,https://help.yapicentral.com/hc/en-us/articles/360007666053
360007567634_en-us,Are Bad Teeth Genetic?,08/01/2018,https://help.yapicentral.com/hc/en-us/articles/360007567634
360007668493_en-us,Dentrix G7 Plugin Installation,08/01/2018,https://help.yapicentral.com/hc/en-us/articles/360007668493
360001792168_en-us,Recommended Virtual Machine Workstation Network Settings,07/27/2018,https://help.yapicentral.com/hc/en-us/articles/360001792168
360001810947_en-us,YAPI Network Requirements,07/27/2018,https://help.yapicentral.com/hc/en-us/articles/360001810947
360001787008_en-us,The Red Bar - Advanced Troubleshooting (TLS 1.2 and Other Security Protocols Block Communication to yapi.me),07/26/2018,https://help.yapicentral.com/hc/en-us/articles/360001787008
360001759948_en-us,Printing Postcards From the Mail Queue,07/24/2018,https://help.yapicentral.com/hc/en-us/articles/360001759948
360001704608_en-us,*INTERNAL USE ONLY* Creating POP Accounts for Internal YAPI use,07/13/2018,https://help.yapicentral.com/hc/en-us/articles/360001704608
360001722227_en-us,Using a Ready-to-Send Newsletter with Mail Blast,07/13/2018,https://help.yapicentral.com/hc/en-us/articles/360001722227
360001724767_en-us,YAPI Connection Issues After Windows Update,07/13/2018,https://help.yapicentral.com/hc/en-us/articles/360001724767
360001715267_en-us,How to Download and Import Ready-to-Send Newsletters,07/12/2018,https://help.yapicentral.com/hc/en-us/articles/360001715267
360001696647_en-us,Bring Your Own Number ™,07/10/2018,https://help.yapicentral.com/hc/en-us/articles/360001696647
360001668288_en-us,Informed Consent for Dentures,07/09/2018,https://help.yapicentral.com/hc/en-us/articles/360001668288
